ORDERNUMBER,QUANTITYORDERED,PRICEEACH,SALES,PRODUCTLINE,CUSTOMERNAME
10107,39,99.91,3896.49,Motorcycles,Land of Toys Inc.
10120,29,96.34,2793.86,Motorcycles,"Australian Collectors, Co."
10134,27,100,3307.77,Motorcycles,Lyon Souveniers
10145,37,100,5192.95,Motorcycles,Toys4GrownUps.com
10159,37,100,5016.83,Motorcycles,Corporate Gift Ideas Co.
10168,27,100,3660.93,Motorcycles,Technics Stores Inc.
10180,42,100,4695.6,Motorcycles,Daedalus Designs Imports
10188,38,96.34,3660.92,Motorcycles,Herkku Gifts
10201,24,100,3025.92,Motorcycles,Mini Wheels Co.
10210,23,100,3009.09,Motorcycles,Osaka Souveniers Co.
10223,47,100,5422.39,Motorcycles,"Australian Collectors, Co."
10236,22,100,2852.08,Motorcycles,Motor Mint Distributors Inc.
10251,44,100,5756.52,Motorcycles,Tekni Collectables Inc.
10263,40,100,4472,Motorcycles,Gift Depot Inc.
10275,22,100,2904.44,Motorcycles,La Rochelle Gifts
10285,47,100,6484.59,Motorcycles,Marta's Replicas Co.
10298,39,96.34,3757.26,Motorcycles,Atelier graphique
10308,34,100,4043.96,Motorcycles,Mini Classics
10318,45,100,5566.5,Motorcycles,Diecast Classics Inc.
10329,20,100,3176,Motorcycles,Land of Toys Inc.
10339,40,68.92,2756.8,Motorcycles,"Tokyo Collectables, Ltd"
10361,26,51.15,1329.9,Motorcycles,Souveniers And Things Co.
10374,39,100,5288.01,Motorcycles,"Australian Gift Network, Co"
10388,50,44.51,2225.5,Motorcycles,FunGiftIdeas.com
10402,45,100,5833.8,Motorcycles,Auto Canal Petit
10417,45,100,5887.35,Motorcycles,Euro Shopping Channel
10107,27,100,6065.55,Motorcycles,Land of Toys Inc.
10120,46,100,9264.86,Motorcycles,"Australian Collectors, Co."
10134,31,100,7023.98,Motorcycles,Lyon Souveniers
10145,33,100,5176.38,Motorcycles,Toys4GrownUps.com
10159,22,100,4132.7,Motorcycles,Corporate Gift Ideas Co.
10168,20,100,4183,Motorcycles,Technics Stores Inc.
10180,41,100,8892.9,Motorcycles,Daedalus Designs Imports
10188,45,100,8714.7,Motorcycles,Herkku Gifts
10201,49,100,8065.89,Motorcycles,Mini Wheels Co.
10210,34,100,6123.4,Motorcycles,Osaka Souveniers Co.
10223,49,100,9774.03,Motorcycles,"Australian Collectors, Co."
10237,39,100,7023.9,Motorcycles,Vitachrome Inc.
10251,43,100,7078.23,Motorcycles,Tekni Collectables Inc.
10263,41,100,8336.94,Motorcycles,Gift Depot Inc.
10275,36,100,6901.92,Motorcycles,La Rochelle Gifts
10285,27,100,5438.07,Motorcycles,Marta's Replicas Co.
10299,29,100,6683.34,Motorcycles,"Toys of Finland, Co."
10308,20,100,4570.4,Motorcycles,Mini Classics
10318,37,100,7667.14,Motorcycles,Diecast Classics Inc.
10329,26,100,5868.2,Motorcycles,Land of Toys Inc.
10339,39,76.67,2990.13,Motorcycles,"Tokyo Collectables, Ltd"
10362,22,100,3664.1,Motorcycles,Technics Stores Inc.
10374,22,100,3834.38,Motorcycles,"Australian Gift Network, Co"
10388,21,86.77,1822.17,Motorcycles,FunGiftIdeas.com
10403,66,100,11886.6,Motorcycles,"UK Collectables, Ltd."
10417,56,100,9218.16,Motorcycles,Euro Shopping Channel
10105,50,100,7208,Classic Cars,Danish Wholesale Imports
10119,46,100,5004.8,Classic Cars,Salzburg Collectables
10129,33,100,4398.24,Classic Cars,"Stylish Desk Decors, Co."
10143,49,100,5597.76,Classic Cars,Mini Creations Ltd.
10155,32,100,4526.08,Classic Cars,"Toys of Finland, Co."
10167,44,100,5924.16,Classic Cars,Scandinavian Gift Ideas
10178,24,100,3492.48,Classic Cars,Alpha Cognac
10186,26,100,3854.24,Classic Cars,"Double Decker Gift Stores, Ltd"
10197,45,100,5324.4,Classic Cars,Enaco Distributors
10209,39,100,5197.92,Classic Cars,"Men 'R' US Retailers, Ltd."
10222,49,100,5997.6,Classic Cars,Collectable Mini Designs Co.
10248,20,100,2910.4,Classic Cars,Land of Toys Inc.
10261,27,100,3378.24,Classic Cars,Quebec Home Shopping Network
10273,30,100,3508.8,Classic Cars,Petit Auto
10283,25,100,2992,Classic Cars,"Royal Canadian Collectables, Ltd."
10295,24,100,3427.2,Classic Cars,Gifts4AllAges.com
10307,22,100,2692.8,Classic Cars,"Classic Gift Ideas, Inc"
10316,33,100,4128.96,Classic Cars,giftsbymail.co.uk
10325,47,64.93,3051.71,Classic Cars,Baane Mini Imports
10337,25,48.05,1201.25,Classic Cars,Classic Legends Inc.
10350,26,75.47,1962.22,Classic Cars,Euro Shopping Channel
10359,48,54.68,2624.64,Classic Cars,Reims Collectables
10373,39,100,4046.25,Classic Cars,"Oulu Toy Supplies, Inc."
10384,34,100,4846.7,Classic Cars,Corporate Gift Ideas Co.
10395,32,100,3370.56,Classic Cars,Lyon Souveniers
10400,64,100,9661.44,Classic Cars,The Sharp Gifts Warehouse
10414,19,100,2764.88,Classic Cars,Gifts4AllAges.com
10103,42,100,5398.26,Classic Cars,Baane Mini Imports
10114,31,100,4305.28,Classic Cars,"La Corne D'abondance, Co."
10126,22,100,3347.74,Classic Cars,"Corrida Auto Replicas, Ltd"
10140,26,100,3188.12,Classic Cars,Technics Stores Inc.
10150,20,100,3191.2,Classic Cars,"Dragon Souveniers, Ltd."
10164,21,100,3536.82,Classic Cars,Mini Auto Werke
10175,33,100,5362.83,Classic Cars,"Stylish Desk Decors, Co."
10183,28,100,3433.36,Classic Cars,"Classic Gift Ideas, Inc"
10194,26,100,4263.74,Classic Cars,"Saveley & Henriot, Co."
10207,31,100,4076.19,Classic Cars,Diecast Collectables
10217,48,100,7020.48,Classic Cars,Handji Gifts& Co
10229,50,100,6426.5,Classic Cars,Mini Gifts Distributors Ltd.
10245,28,100,4591.72,Classic Cars,Super Scale Inc.
10259,26,100,4033.38,Classic Cars,Handji Gifts& Co
10270,32,100,4302.08,Classic Cars,Souveniers And Things Co.
10281,44,100,7020.64,Classic Cars,Diecast Classics Inc.
10291,30,100,3855.9,Classic Cars,Scandinavian Gift Ideas
10305,38,100,6680.78,Classic Cars,Marta's Replicas Co.
10313,40,100,6678,Classic Cars,Canadian Gift Exchange Network
10322,46,61.99,2851.54,Classic Cars,Online Diecast Creations Co.
10334,26,100,3188.12,Classic Cars,"Volvo Model Replicas, Co"
10347,27,100,4428,Classic Cars,"Australian Collectors, Co."
10357,43,100,5780.92,Classic Cars,Mini Gifts Distributors Ltd.
10370,35,65.63,2297.05,Classic Cars,"Anna's Decorations, Ltd"
10381,37,100,6231.54,Classic Cars,Corporate Gift Ideas Co.
10391,37,46.9,1735.3,Classic Cars,"Anna's Decorations, Ltd"
10411,27,100,4427.73,Classic Cars,Quebec Home Shopping Network
10425,38,100,5894.94,Classic Cars,La Rochelle Gifts
10108,33,100,5265.15,Classic Cars,Cruz & Sons Co.
10122,42,100,7599.9,Classic Cars,Marseille Mini Autos
10135,42,100,8008.56,Classic Cars,Mini Gifts Distributors Ltd.
10147,48,100,9245.76,Classic Cars,Collectables For Less Inc.
10159,41,100,8296.35,Classic Cars,Corporate Gift Ideas Co.
10169,30,100,5019.9,Classic Cars,"Anna's Decorations, Ltd"
10181,27,100,5411.07,Classic Cars,Herkku Gifts
10191,21,100,3840.9,Classic Cars,"Toms Spezialitten, Ltd"
10203,20,100,3930.4,Classic Cars,Euro Shopping Channel
10211,41,100,7498.9,Classic Cars,Auto Canal Petit
10225,27,100,4517.91,Classic Cars,"Vida Sport, Ltd"
10238,28,100,5774.72,Classic Cars,Danish Wholesale Imports
10253,24,100,3922.56,Classic Cars,"UK Collectables, Ltd."
10266,44,100,9160.36,Classic Cars,L'ordine Souveniers
10276,50,100,9631,Classic Cars,Online Mini Collectables
10287,21,100,3432.24,Classic Cars,"Vida Sport, Ltd"
10300,33,100,5521.89,Classic Cars,"Blauer See Auto, Co."
10310,33,100,6934.62,Classic Cars,"Toms Spezialitten, Ltd"
10320,31,100,6876.11,Classic Cars,"Volvo Model Replicas, Co"
10329,41,71.47,2930.27,Classic Cars,Land of Toys Inc.
10341,45,79.65,3584.25,Classic Cars,Salzburg Collectables
10363,33,85.39,2817.87,Classic Cars,Suominen Souveniers
10375,45,76,3420,Classic Cars,La Rochelle Gifts
10389,26,99.04,2575.04,Classic Cars,Scandinavian Gift Ideas
10419,12,100,1961.28,Classic Cars,Salzburg Collectables
10105,41,100,8690.36,Classic Cars,Danish Wholesale Imports
10117,33,100,6034.38,Classic Cars,"Dragon Souveniers, Ltd."
10127,46,100,11279.2,Classic Cars,Muscle Machine Inc
10142,33,100,8023.29,Classic Cars,Mini Gifts Distributors Ltd.
10153,20,100,4904,Classic Cars,Euro Shopping Channel
10165,44,100,8594.52,Classic Cars,"Dragon Souveniers, Ltd."
10176,33,100,7474.5,Classic Cars,L'ordine Souveniers
10185,21,100,3883.74,Classic Cars,Mini Creations Ltd.
10196,47,100,8887.7,Classic Cars,Super Scale Inc.
10208,46,100,8602.92,Classic Cars,"Saveley & Henriot, Co."
10220,32,100,7181.44,Classic Cars,"Clover Collections, Co."
10231,42,100,8378.58,Classic Cars,CAF Imports
10247,44,100,10606.2,Classic Cars,Suominen Souveniers
10272,35,100,5818.4,Classic Cars,Diecast Classics Inc.
10282,41,100,7071.27,Classic Cars,Mini Gifts Distributors Ltd.
10293,46,100,8411.56,Classic Cars,Amica Models & Co.
10306,31,100,6570.76,Classic Cars,"AV Stores, Co."
10314,38,100,7975.44,Classic Cars,Heintze Collectables
10325,42,64,2688,Classic Cars,Baane Mini Imports
10336,33,57.22,1888.26,Classic Cars,"La Corne D'abondance, Co."
10348,48,52.36,2513.28,Classic Cars,"Corrida Auto Replicas, Ltd"
10359,42,100,4764.48,Classic Cars,Reims Collectables
10371,32,100,3560.64,Classic Cars,Mini Gifts Distributors Ltd.
10382,34,100,3823.64,Classic Cars,Mini Gifts Distributors Ltd.
10395,33,69.12,2280.96,Classic Cars,Lyon Souveniers
10413,36,100,8677.8,Classic Cars,Gift Depot Inc.
10103,27,100,3394.98,Trucks and Buses,Baane Mini Imports
10113,21,100,3415.44,Trucks and Buses,Mini Gifts Distributors Ltd.
10126,21,100,2439.57,Trucks and Buses,"Corrida Auto Replicas, Ltd"
10140,38,100,4829.8,Trucks and Buses,Technics Stores Inc.
10150,30,100,4100.1,Trucks and Buses,"Dragon Souveniers, Ltd."
10164,49,100,6563.06,Trucks and Buses,Mini Auto Werke
10174,43,100,6817.22,Trucks and Buses,"Australian Gift Network, Co"
10183,41,100,6163.94,Trucks and Buses,"Classic Gift Ideas, Inc"
10194,38,100,4933.92,Trucks and Buses,"Saveley & Henriot, Co."
10206,28,100,4056.36,Trucks and Buses,Canadian Gift Exchange Network
10216,43,100,5759.42,Trucks and Buses,Auto Assoc. & Cie.
10229,25,100,3451,Trucks and Buses,Mini Gifts Distributors Ltd.
10245,38,100,5920.4,Trucks and Buses,Super Scale Inc.
10258,41,100,6668.24,Trucks and Buses,"Tokyo Collectables, Ltd"
10270,28,100,4094.72,Trucks and Buses,Souveniers And Things Co.
10281,25,100,2938.5,Trucks and Buses,Diecast Classics Inc.
10291,41,100,6387.8,Trucks and Buses,Scandinavian Gift Ideas
10304,39,100,6396,Trucks and Buses,Auto Assoc. & Cie.
10313,21,100,2669.1,Trucks and Buses,Canadian Gift Exchange Network
10322,27,100,4784.13,Trucks and Buses,Online Diecast Creations Co.
10333,33,99.21,3273.93,Trucks and Buses,Mini Wheels Co.
10347,29,100,3586.43,Trucks and Buses,"Australian Collectors, Co."
10357,49,100,5960.36,Trucks and Buses,Mini Gifts Distributors Ltd.
10370,49,100,8470.14,Trucks and Buses,"Anna's Decorations, Ltd"
10381,20,100,2952,Trucks and Buses,Corporate Gift Ideas Co.
10391,39,63.2,2464.8,Trucks and Buses,"Anna's Decorations, Ltd"
10411,40,100,6232,Trucks and Buses,Quebec Home Shopping Network
10424,49,100,7969.36,Trucks and Buses,Euro Shopping Channel
10107,21,100,3036.6,Motorcycles,Land of Toys Inc.
10121,50,100,8284,Motorcycles,Reims Collectables
10134,20,100,2711.2,Motorcycles,Lyon Souveniers
10145,49,100,8339.8,Motorcycles,Toys4GrownUps.com
10159,38,100,6238.84,Motorcycles,Corporate Gift Ideas Co.
10169,35,100,4639.25,Motorcycles,"Anna's Decorations, Ltd"
10180,40,100,6747.6,Motorcycles,Daedalus Designs Imports
10189,28,100,4512.48,Motorcycles,Toys4GrownUps.com
10201,25,100,4029,Motorcycles,Mini Wheels Co.
10211,36,100,4771.8,Motorcycles,Auto Canal Petit
10224,43,100,6087.94,Motorcycles,Daedalus Designs Imports
10237,32,100,4193.28,Motorcycles,Vitachrome Inc.
10251,46,100,7552.28,Motorcycles,Tekni Collectables Inc.
10263,48,100,6434.4,Motorcycles,Gift Depot Inc.
10276,43,100,5181.5,Motorcycles,Online Mini Collectables
10285,49,100,6863.92,Motorcycles,Marta's Replicas Co.
10299,24,100,4157.04,Motorcycles,"Toys of Finland, Co."
10309,26,100,4660.24,Motorcycles,Baane Mini Imports
10319,30,100,4111.8,Motorcycles,Microscale Inc.
10329,24,100,3542.64,Motorcycles,Land of Toys Inc.
10341,55,100,8118.55,Motorcycles,Salzburg Collectables
10362,22,100,3877.06,Motorcycles,Technics Stores Inc.
10375,49,78.92,3867.08,Motorcycles,La Rochelle Gifts
10388,44,100,5951.44,Motorcycles,FunGiftIdeas.com
10403,66,100,8648.64,Motorcycles,"UK Collectables, Ltd."
10417,21,100,3447.78,Motorcycles,Euro Shopping Channel
10104,34,100,5958.5,Classic Cars,Euro Shopping Channel
10117,43,100,5911.64,Classic Cars,"Dragon Souveniers, Ltd."
10127,46,100,7366.44,Classic Cars,Muscle Machine Inc
10142,33,100,4985.64,Classic Cars,Mini Gifts Distributors Ltd.
10153,42,100,5393.64,Classic Cars,Euro Shopping Channel
10165,34,100,4880.02,Classic Cars,"Dragon Souveniers, Ltd."
10176,47,100,8378.69,Classic Cars,L'ordine Souveniers
10185,33,100,4038.21,Classic Cars,Mini Creations Ltd.
10196,24,100,3807.12,Classic Cars,Super Scale Inc.
10208,26,100,3142.36,Classic Cars,"Saveley & Henriot, Co."
10220,30,100,4713.6,Classic Cars,"Clover Collections, Co."
10230,43,100,7016.31,Classic Cars,"Blauer See Auto, Co."
10247,25,100,4381.25,Classic Cars,Suominen Souveniers
10272,27,100,4283.01,Classic Cars,Diecast Classics Inc.
10282,27,100,4364.82,Classic Cars,Mini Gifts Distributors Ltd.
10293,24,100,4242.24,Classic Cars,Amica Models & Co.
10306,34,100,4982.7,Classic Cars,"AV Stores, Co."
10314,46,100,6393.54,Classic Cars,Heintze Collectables
10324,27,54.33,1466.91,Classic Cars,Vitachrome Inc.
10336,33,100,4059.33,Classic Cars,"La Corne D'abondance, Co."
10348,47,100,4801.52,Classic Cars,"Corrida Auto Replicas, Ltd"
10358,49,55.34,2711.66,Classic Cars,Euro Shopping Channel
10372,40,100,5862,Classic Cars,"Tokyo Collectables, Ltd"
10382,37,100,4071.85,Classic Cars,Mini Gifts Distributors Ltd.
10413,47,100,8236.75,Classic Cars,Gift Depot Inc.
10108,45,100,6130.35,Classic Cars,Cruz & Sons Co.
10122,37,99.82,3693.34,Classic Cars,Marseille Mini Autos
10135,48,100,6031.68,Classic Cars,Mini Gifts Distributors Ltd.
10147,31,100,3494.94,Classic Cars,Collectables For Less Inc.
10160,46,100,5294.14,Classic Cars,"Men 'R' US Retailers, Ltd."
10170,47,100,5464.69,Classic Cars,Mini Auto Werke
10181,28,100,2860.76,Classic Cars,Herkku Gifts
10191,40,100,5590,Classic Cars,"Toms Spezialitten, Ltd"
10203,20,100,2254.8,Classic Cars,Euro Shopping Channel
10212,39,100,4946.76,Classic Cars,Euro Shopping Channel
10225,25,99.82,2495.5,Classic Cars,"Vida Sport, Ltd"
10238,29,100,3167.38,Classic Cars,Danish Wholesale Imports
10253,22,100,2402.84,Classic Cars,"UK Collectables, Ltd."
10266,22,100,2454.54,Classic Cars,L'ordine Souveniers
10276,47,100,5464.69,Classic Cars,Online Mini Collectables
10287,45,100,4756.5,Classic Cars,"Vida Sport, Ltd"
10300,29,100,3984.6,Classic Cars,"Blauer See Auto, Co."
10310,24,100,3100.32,Classic Cars,"Toms Spezialitten, Ltd"
10320,35,100,4850.3,Classic Cars,"Volvo Model Replicas, Co"
10329,46,83.63,3846.98,Classic Cars,Land of Toys Inc.
10341,44,95.93,4220.92,Classic Cars,Salzburg Collectables
10363,34,96.73,3288.82,Classic Cars,Suominen Souveniers
10376,35,100,3987.2,Classic Cars,Boards & Toys Co.
10389,25,72.38,1809.5,Classic Cars,Scandinavian Gift Ideas
10419,10,100,1092.2,Classic Cars,Salzburg Collectables
10105,29,100,4566.05,Classic Cars,Danish Wholesale Imports
10117,39,100,5938.14,Classic Cars,"Dragon Souveniers, Ltd."
10127,42,100,8138.76,Classic Cars,Muscle Machine Inc
10142,46,100,9470.94,Classic Cars,Mini Gifts Distributors Ltd.
10153,49,100,7036.89,Classic Cars,Euro Shopping Channel
10165,27,100,5559.03,Classic Cars,"Dragon Souveniers, Ltd."
10176,50,100,7872.5,Classic Cars,L'ordine Souveniers
10185,43,100,7886.2,Classic Cars,Mini Creations Ltd.
10196,38,100,7232.16,Classic Cars,Super Scale Inc.
10208,20,100,3114.4,Classic Cars,"Saveley & Henriot, Co."
10220,27,100,5045.22,Classic Cars,"Clover Collections, Co."
10231,49,100,6952.12,Classic Cars,CAF Imports
10247,27,100,4157.73,Classic Cars,Suominen Souveniers
10272,39,100,7962.24,Classic Cars,Diecast Classics Inc.
10282,24,100,3778.8,Classic Cars,Mini Gifts Distributors Ltd.
10293,45,100,8253,Classic Cars,Amica Models & Co.
10306,20,100,3633.4,Classic Cars,"AV Stores, Co."
10314,36,100,6913.8,Classic Cars,Heintze Collectables
10325,24,100,2583.6,Classic Cars,Baane Mini Imports
10336,49,63.38,3105.62,Classic Cars,"La Corne D'abondance, Co."
10349,26,100,4408.56,Classic Cars,Muscle Machine Inc
10359,49,62.09,3042.41,Classic Cars,Reims Collectables
10372,34,100,5941.5,Classic Cars,"Tokyo Collectables, Ltd"
10382,34,95.35,3241.9,Classic Cars,Mini Gifts Distributors Ltd.
10396,33,100,6109.29,Classic Cars,Mini Gifts Distributors Ltd.
10413,22,100,3387.78,Classic Cars,Gift Depot Inc.
10108,39,89.38,3485.82,Classic Cars,Cruz & Sons Co.
10122,32,63.84,2042.88,Classic Cars,Marseille Mini Autos
10135,24,75.01,1800.24,Classic Cars,Mini Gifts Distributors Ltd.
10147,21,63.84,1340.64,Classic Cars,Collectables For Less Inc.
10159,24,73.42,1762.08,Classic Cars,Corporate Gift Ideas Co.
10169,36,63.84,2298.24,Classic Cars,"Anna's Decorations, Ltd"
10181,20,81.4,1628,Classic Cars,Herkku Gifts
10191,30,64.64,1939.2,Classic Cars,"Toms Spezialitten, Ltd"
10203,44,82.99,3651.56,Classic Cars,Euro Shopping Channel
10211,28,92.57,2591.96,Classic Cars,Auto Canal Petit
10225,37,77.41,2864.17,Classic Cars,"Vida Sport, Ltd"
10238,20,74.21,1484.2,Classic Cars,Danish Wholesale Imports
10253,25,90.17,2254.25,Classic Cars,"UK Collectables, Ltd."
10266,35,76.61,2681.35,Classic Cars,L'ordine Souveniers
10276,38,83.79,3184.02,Classic Cars,Online Mini Collectables
10287,41,69.43,2846.63,Classic Cars,"Vida Sport, Ltd"
10300,22,76.61,1685.42,Classic Cars,"Blauer See Auto, Co."
10310,49,81.4,3988.6,Classic Cars,"Toms Spezialitten, Ltd"
10320,38,73.42,2789.96,Classic Cars,"Volvo Model Replicas, Co"
10329,33,100,3607.56,Classic Cars,Land of Toys Inc.
10341,36,93.56,3368.16,Classic Cars,Salzburg Collectables
10363,34,81.62,2775.08,Classic Cars,Suominen Souveniers
10377,24,67.83,1627.92,Classic Cars,"Toys of Finland, Co."
10389,36,70.26,2529.36,Classic Cars,Scandinavian Gift Ideas
10419,34,90.17,3065.78,Classic Cars,Salzburg Collectables
10104,41,100,4615.78,Trucks and Buses,Euro Shopping Channel
10115,46,100,5723.78,Trucks and Buses,Classic Legends Inc.
10127,24,100,2559.6,Trucks and Buses,Muscle Machine Inc
10141,21,100,2140.11,Trucks and Buses,Suominen Souveniers
10151,24,100,3327.6,Trucks and Buses,"Oulu Toy Supplies, Inc."
10165,48,100,6825.6,Trucks and Buses,"Dragon Souveniers, Ltd."
10175,26,100,3543.28,Trucks and Buses,"Stylish Desk Decors, Co."
10184,37,100,4516.22,Trucks and Buses,"Iberia Gift Imports, Corp."
10195,49,100,6445.46,Trucks and Buses,Mini Classics
10207,34,99.54,3384.36,Trucks and Buses,Diecast Collectables
10219,48,100,4891.68,Trucks and Buses,Signal Collectibles Ltd.
10229,36,100,4521.96,Trucks and Buses,Mini Gifts Distributors Ltd.
10246,46,100,5069.66,Trucks and Buses,Euro Shopping Channel
10259,46,100,6541.2,Trucks and Buses,Handji Gifts& Co
10271,31,97.17,3012.27,Trucks and Buses,Mini Gifts Distributors Ltd.
10281,41,100,5247.18,Trucks and Buses,Diecast Classics Inc.
10292,21,100,2214.87,Trucks and Buses,Land of Toys Inc.
10305,38,100,4773.18,Trucks and Buses,Marta's Replicas Co.
10314,45,100,6185.7,Trucks and Buses,Heintze Collectables
10324,26,58.38,1517.88,Trucks and Buses,Vitachrome Inc.
10336,38,100,6372.6,Trucks and Buses,"La Corne D'abondance, Co."
10349,48,100,5232.96,Trucks and Buses,Muscle Machine Inc
10358,42,64.16,2694.72,Trucks and Buses,Euro Shopping Channel
10371,49,35.71,1749.79,Trucks and Buses,Mini Gifts Distributors Ltd.
10382,32,66.58,2130.56,Trucks and Buses,Mini Gifts Distributors Ltd.
10412,54,100,5951.34,Trucks and Buses,Euro Shopping Channel
10425,33,100,4692.6,Trucks and Buses,La Rochelle Gifts
10108,36,100,3731.04,Classic Cars,Cruz & Sons Co.
10122,20,100,2142,Classic Cars,Marseille Mini Autos
10135,29,97.89,2838.81,Classic Cars,Mini Gifts Distributors Ltd.
10147,33,97.89,3230.37,Classic Cars,Collectables For Less Inc.
10160,50,100,5182,Classic Cars,"Men 'R' US Retailers, Ltd."
10170,41,100,4391.1,Classic Cars,Mini Auto Werke
10181,36,100,4477.32,Classic Cars,Herkku Gifts
10192,27,100,3544.56,Classic Cars,Online Diecast Creations Co.
10203,47,100,5195.85,Classic Cars,Euro Shopping Channel
10212,33,100,4180.44,Classic Cars,Euro Shopping Channel
10225,21,100,2684.43,Classic Cars,"Vida Sport, Ltd"
10239,21,93.28,1958.88,Classic Cars,"Oulu Toy Supplies, Inc."
10253,41,100,4910.57,Classic Cars,"UK Collectables, Ltd."
10266,40,100,4468.4,Classic Cars,L'ordine Souveniers
10277,28,100,3127.88,Classic Cars,"Dragon Souveniers, Ltd."
10287,23,100,2675.13,Classic Cars,"Vida Sport, Ltd"
10300,23,100,2807.61,Classic Cars,"Blauer See Auto, Co."
10310,25,100,2504.75,Classic Cars,"Toms Spezialitten, Ltd"
10321,24,100,2984.88,Classic Cars,FunGiftIdeas.com
10329,39,64.74,2524.86,Classic Cars,Land of Toys Inc.
10341,55,75.2,4136,Classic Cars,Salzburg Collectables
10363,46,88.45,4068.7,Classic Cars,Suominen Souveniers
10377,50,100,5182,Classic Cars,"Toys of Finland, Co."
10389,47,100,5243.79,Classic Cars,Scandinavian Gift Ideas
10405,97,93.28,9048.16,Classic Cars,Mini Caravy
10419,32,100,3832.64,Classic Cars,Salzburg Collectables
10103,35,100,3920,Trucks and Buses,Baane Mini Imports
10113,49,100,4916.66,Trucks and Buses,Mini Gifts Distributors Ltd.
10126,38,100,3857,Trucks and Buses,"Corrida Auto Replicas, Ltd"
10140,32,100,4181.44,Trucks and Buses,Technics Stores Inc.
10150,34,100,4641,Trucks and Buses,"Dragon Souveniers, Ltd."
10164,36,99.17,3570.12,Trucks and Buses,Mini Auto Werke
10174,48,93.34,4480.32,Trucks and Buses,"Australian Gift Network, Co"
10183,21,96.84,2033.64,Trucks and Buses,"Classic Gift Ideas, Inc"
10194,21,93.34,1960.14,Trucks and Buses,"Saveley & Henriot, Co."
10206,34,100,3966.78,Trucks and Buses,Canadian Gift Exchange Network
